(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
2021-05-13:02,보통,33,보통,18,좋음,0.017,보통,0.041,좋음,0.5,좋음,0.001
2021-05-13:01,보통,36,보통,20,좋음,0.025,보통,0.035,좋음,0.4,좋음,0.001
2021-05-12:24,보통,38,보통,20,좋음,0.016,보통,0.05,좋음,0.5,좋음,0.001
2021-05-12:23,보통,40,보통,19,보통,0.035,보통,0.036,좋음,0.4,좋음,0.001
2021-05-12:22,보통,43,보통,21,보통,0.044,보통,0.033,좋음,0.5,좋음,0.001
2021-05-12:21,보통,44,보통,25,보통,0.045,보통,0.042,좋음,0.5,좋음,0.001
2021-05-12:20,보통,42,보통,23,보통,0.04,보통,0.051,좋음,0.5,좋음,0.001
2021-05-12:19,보통,33,보통,16,보통,0.06,보통,0.031,좋음,0.4,좋음,0.001
2021-05-12:18,보통,32,좋음,15,보통,0.069,좋음,0.023,좋음,0.4,좋음,0.001
2021-05-12:17,좋음,30,좋음,13,보통,0.068,좋음,0.022,좋음,0.4,좋음,0.001
2021-05-12:16,좋음,27,좋음,12,보통,0.065,좋음,0.021,좋음,0.3,좋음,0.001
2021-05-12:15,좋음,27,좋음,11,보통,0.059,좋음,0.022,좋음,0.4,좋음,0.001
2021-05-12:14,좋음,24,좋음,13,보통,0.055,좋음,0.021,좋음,0.4,좋음,0.001
2021-05-12:13,좋음,22,좋음,11,보통,0.051,좋음,0.019,좋음,0.4,좋음,0.001
2021-05-12:12,좋음,21,좋음,9,보통,0.044,좋음,0.02,좋음,0.4,좋음,0.001
2021-05-12:11,좋음,23,좋음,10,보통,0.039,좋음,0.021,좋음,0.4,좋음,0.001
2021-05-12:10,좋음,22,좋음,8,보통,0.034,좋음,0.025,좋음,0.5,좋음,0.001
2021-05-12:09,좋음,19,좋음,8,좋음,0.029,좋음,0.027,좋음,0.4,좋음,0.001
2021-05-12:08,좋음,17,좋음,9,보통,0.031,좋음,0.023,좋음,0.3,좋음,0.001
2021-05-12:07,좋음,16,좋음,9,좋음,0.03,좋음,0.023,좋음,0.3,좋음,0.001
2021-05-12:06,좋음,17,좋음,9,보통,0.034,좋음,0.017,좋음,0.3,좋음,0.001
2021-05-12:05,좋음,17,좋음,12,보통,0.037,좋음,0.011,좋음,0.3,좋음,0.001
2021-05-12:04,좋음,18,좋음,10,보통,0.035,좋음,0.014,좋음,0.3,좋음,0.001
2021-05-12:03,좋음,16,좋음,9,보통,0.032,좋음,0.018,좋음,0.3,좋음,0.001
2021-05-12:02,좋음,16,좋음,8,보통,0.035,좋음,0.018,좋음,0.4,좋음,0.001
2021-05-12:01,좋음,21,좋음,7,좋음,0.027,좋음,0.026,좋음,0.4,좋음,0.001
2021-05-11:24,좋음,19,좋음,8,좋음,0.024,보통,0.032,좋음,0.4,좋음,0.001
2021-05-11:23,좋음,21,좋음,8,보통,0.033,좋음,0.023,좋음,0.4,좋음,0.001
2021-05-11:22,좋음,24,좋음,10,보통,0.035,좋음,0.021,좋음,0.4,좋음,0.001
2021-05-11:21,좋음,29,좋음,14,좋음,0.03,좋음,0.028,좋음,0.4,좋음,0.001
2021-05-11:20,보통,31,보통,17,보통,0.033,좋음,0.028,좋음,0.4,좋음,0.001
2021-05-11:19,좋음,27,좋음,13,보통,0.041,좋음,0.023,좋음,0.4,좋음,0.001
2021-05-11:18,좋음,26,좋음,11,보통,0.047,좋음,0.022,좋음,0.4,좋음,0.001
2021-05-11:17,좋음,26,좋음,12,보통,0.054,좋음,0.02,좋음,0.4,좋음,0.001
2021-05-11:16,좋음,24,좋음,10,보통,0.052,좋음,0.021,좋음,0.4,좋음,0.001
2021-05-11:15,좋음,25,좋음,9,보통,0.048,좋음,0.022,좋음,0.4,좋음,0.001
2021-05-11:14,좋음,23,좋음,11,보통,0.049,좋음,0.018,좋음,0.4,좋음,0.001
2021-05-11:13,좋음,27,좋음,12,보통,0.044,좋음,0.018,좋음,0.4,좋음,0.001
2021-05-11:12,좋음,30,좋음,10,보통,0.035,좋음,0.023,좋음,0.4,좋음,0.001
2021-05-11:11,좋음,30,좋음,9,보통,0.031,좋음,0.023,좋음,0.4,좋음,0.001
2021-05-11:10,좋음,26,좋음,8,좋음,0.023,좋음,0.025,좋음,0.4,좋음,0.001
2021-05-11:09,좋음,29,좋음,12,좋음,0.015,보통,0.034,좋음,0.4,좋음,0.001
2021-05-11:08,좋음,28,좋음,14,좋음,0.007,보통,0.038,좋음,0.5,좋음,0.001
2021-05-11:07,좋음,26,보통,16,좋음,0.005,보통,0.036,좋음,0.4,좋음,0.001
2021-05-11:06,좋음,21,좋음,11,좋음,0.004,보통,0.033,좋음,0.4,좋음,0.001
2021-05-11:05,좋음,23,좋음,12,좋음,0.008,보통,0.031,좋음,0.4,좋음,0.001
2021-05-11:04,좋음,22,좋음,11,좋음,0.007,보통,0.033,좋음,0.4,좋음,0.001
2021-05-11:03,좋음,26,좋음,11,좋음,0.004,보통,0.04,좋음,0.5,좋음,0.001
2021-05-11:02,좋음,18,좋음,11,좋음,0.006,보통,0.041,좋음,0.5,좋음,0.001
2021-05-11:01,좋음,22,좋음,11,좋음,0.013,보통,0.033,좋음,0.4,좋음,0.001
2021-05-10:24,좋음,19,좋음,10,좋음,0.014,보통,0.035,좋음,0.5,좋음,0.001
2021-05-10:23,좋음,19,좋음,11,좋음,0.021,좋음,0.028,좋음,0.4,좋음,0.001
2021-05-10:22,좋음,19,좋음,11,좋음,0.022,보통,0.031,좋음,0.4,좋음,0.001
2021-05-10:21,좋음,24,좋음,13,좋음,0.024,좋음,0.029,좋음,0.4,좋음,0.001
2021-05-10:20,좋음,24,좋음,14,좋음,0.023,좋음,0.028,좋음,0.4,좋음,0.001
2021-05-10:19,좋음,22,좋음,12,좋음,0.025,좋음,0.029,좋음,0.4,좋음,0.001
2021-05-10:18,좋음,21,좋음,12,좋음,0.024,보통,0.032,좋음,0.4,좋음,0.001
2021-05-10:17,좋음,22,좋음,10,좋음,0.026,좋음,0.029,좋음,0.3,좋음,0.001
2021-05-10:16,좋음,20,좋음,10,좋음,0.024,보통,0.031,좋음,0.3,좋음,0.001
2021-05-10:15,좋음,22,좋음,11,좋음,0.017,보통,0.037,좋음,0.4,좋음,0.001
2021-05-10:14,좋음,19,좋음,9,좋음,0.018,보통,0.036,좋음,0.4,좋음,0.001
2021-05-10:13,좋음,22,좋음,13,좋음,0.02,보통,0.039,좋음,0.4,좋음,0.001
2021-05-10:12,좋음,23,좋음,9,좋음,0.014,보통,0.048,좋음,0.5,좋음,0.002
2021-05-10:11,좋음,26,좋음,10,좋음,0.018,보통,0.042,좋음,0.4,좋음,0.002
2021-05-10:10,보통,40,좋음,13,좋음,0.009,보통,0.052,좋음,0.6,좋음,0.003
2021-05-10:09,보통,35,좋음,12,좋음,0.005,보통,0.048,좋음,0.5,좋음,0.002
2021-05-10:08,보통,31,좋음,11,좋음,0.009,보통,0.046,좋음,0.5,좋음,0.003
2021-05-10:07,보통,31,좋음,13,좋음,0.019,보통,0.037,좋음,0.4,좋음,0.003
2021-05-10:06,좋음,30,좋음,11,좋음,0.029,좋음,0.024,좋음,0.3,좋음,0.003
2021-05-10:05,좋음,28,좋음,14,좋음,0.019,좋음,0.03,좋음,0.4,좋음,0.003
2021-05-10:04,좋음,24,좋음,10,좋음,0.016,보통,0.031,좋음,0.4,좋음,0.003
2021-05-10:03,좋음,27,좋음,11,좋음,0.021,좋음,0.028,좋음,0.4,좋음,0.003
2021-05-10:02,좋음,27,좋음,10,좋음,0.02,보통,0.033,좋음,0.4,좋음,0.002
2021-05-10:01,보통,32,좋음,10,좋음,0.03,좋음,0.028,좋음,0.4,좋음,0.003
2021-05-09:24,좋음,28,좋음,10,좋음,0.026,보통,0.036,좋음,0.4,좋음,0.003
2021-05-09:23,좋음,28,좋음,9,보통,0.037,좋음,0.026,좋음,0.4,좋음,0.003
2021-05-09:22,좋음,29,좋음,10,보통,0.044,좋음,0.019,좋음,0.3,좋음,0.003
2021-05-09:21,보통,34,좋음,12,보통,0.046,좋음,0.018,좋음,0.3,좋음,0.003
2021-05-09:20,보통,35,좋음,12,보통,0.045,좋음,0.021,좋음,0.3,좋음,0.004
2021-05-09:19,보통,37,좋음,12,보통,0.055,좋음,0.014,좋음,0.3,좋음,0.003
2021-05-09:18,보통,37,좋음,10,보통,0.058,좋음,0.012,좋음,0.3,좋음,0.004
2021-05-09:17,보통,42,좋음,8,보통,0.059,좋음,0.009,좋음,0.3,좋음,0.003
2021-05-09:16,보통,40,좋음,6,보통,0.057,좋음,0.007,좋음,0.3,좋음,0.003
2021-05-09:15,보통,40,좋음,7,보통,0.056,좋음,0.005,좋음,0.3,좋음,0.002
2021-05-09:14,보통,33,좋음,7,보통,0.052,좋음,0.006,좋음,0.3,좋음,0.003
2021-05-09:13,보통,48,좋음,5,보통,0.051,좋음,0.005,좋음,0.3,좋음,0.002
2021-05-09:12,보통,60,좋음,6,보통,0.049,좋음,0.005,좋음,0.3,좋음,0.003
2021-05-09:11,보통,58,좋음,9,보통,0.047,좋음,0.006,좋음,0.3,좋음,0.003
2021-05-09:10,보통,47,좋음,5,보통,0.043,좋음,0.008,좋음,0.3,좋음,0.003
2021-05-09:09,보통,47,좋음,6,보통,0.038,좋음,0.009,좋음,0.3,좋음,0.003
2021-05-09:08,보통,65,보통,16,좋음,0.028,좋음,0.019,좋음,0.4,좋음,0.003
2021-05-09:07,보통,75,보통,20,좋음,0.02,좋음,0.022,좋음,0.4,좋음,0.002
2021-05-09:06,보통,63,보통,17,좋음,0.021,좋음,0.02,좋음,0.4,좋음,0.002
2021-05-09:05,보통,59,좋음,15,좋음,0.029,좋음,0.014,좋음,0.4,좋음,0.003
2021-05-09:04,보통,51,좋음,13,보통,0.034,좋음,0.011,좋음,0.3,좋음,0.003
2021-05-09:03,보통,59,보통,16,보통,0.034,좋음,0.011,좋음,0.3,좋음,0.002
2021-05-09:02,나쁨,82,보통,19,보통,0.035,좋음,0.012,좋음,0.3,좋음,0.003
2021-05-09:01,나쁨,141,보통,27,보통,0.036,좋음,0.013,좋음,0.4,좋음,0.002
2021-05-08:24,매우나쁨,233,나쁨,44,좋음,0.028,좋음,0.026,좋음,0.4,좋음,0.003
2021-05-08:23,매우나쁨,274,나쁨,49,보통,0.033,좋음,0.024,좋음,0.4,좋음,0.003
2021-05-08:22,매우나쁨,300,나쁨,50,보통,0.038,좋음,0.02,좋음,0.4,좋음,0.002
2021-05-08:21,매우나쁨,313,나쁨,55,보통,0.044,좋음,0.016,좋음,0.4,좋음,0.003
2021-05-08:20,매우나쁨,297,나쁨,52,보통,0.048,좋음,0.014,좋음,0.4,좋음,0.002
2021-05-08:19,매우나쁨,312,나쁨,53,보통,0.051,좋음,0.013,좋음,0.4,좋음,0.003
2021-05-08:18,매우나쁨,310,나쁨,53,보통,0.055,좋음,0.012,좋음,0.4,좋음,0.003
2021-05-08:17,매우나쁨,298,나쁨,54,보통,0.055,좋음,0.013,좋음,0.4,좋음,0.003
2021-05-08:16,매우나쁨,280,나쁨,48,보통,0.052,좋음,0.013,좋음,0.3,좋음,0.003
2021-05-08:15,매우나쁨,252,나쁨,43,보통,0.05,좋음,0.012,좋음,0.3,좋음,0.003
2021-05-08:14,매우나쁨,299,나쁨,54,보통,0.047,좋음,0.012,좋음,0.3,좋음,0.003
2021-05-08:13,매우나쁨,354,나쁨,66,보통,0.044,좋음,0.012,좋음,0.3,좋음,0.003
2021-05-08:12,매우나쁨,390,나쁨,66,보통,0.036,좋음,0.017,좋음,0.4,좋음,0.003
2021-05-08:11,매우나쁨,468,매우나쁨,81,보통,0.031,좋음,0.02,좋음,0.4,좋음,0.003
2021-05-08:10,매우나쁨,577,매우나쁨,101,좋음,0.022,좋음,0.023,좋음,0.4,좋음,0.003
2021-05-08:09,매우나쁨,636,매우나쁨,113,좋음,0.017,좋음,0.026,좋음,0.5,좋음,0.003
2021-05-08:08,매우나쁨,638,매우나쁨,111,좋음,0.011,좋음,0.029,좋음,0.4,좋음,0.003
2021-05-08:07,매우나쁨,658,매우나쁨,116,좋음,0.014,좋음,0.025,좋음,0.4,좋음,0.003
2021-05-08:06,매우나쁨,722,매우나쁨,123,좋음,0.013,좋음,0.023,좋음,0.5,좋음,0.002
2021-05-08:05,매우나쁨,759,매우나쁨,134,좋음,0.016,좋음,0.018,좋음,0.4,좋음,0.003
2021-05-08:04,매우나쁨,784,매우나쁨,142,좋음,0.016,좋음,0.019,좋음,0.4,좋음,0.002
2021-05-08:03,매우나쁨,798,매우나쁨,146,좋음,0.019,좋음,0.015,좋음,0.4,좋음,0.003
2021-05-08:02,매우나쁨,942,매우나쁨,162,좋음,0.02,좋음,0.016,좋음,0.4,좋음,0.002
2021-05-08:01,매우나쁨,1024,매우나쁨,172,좋음,0.015,좋음,0.021,좋음,0.4,좋음,0.002
2021-05-07:24,매우나쁨,998,매우나쁨,170,좋음,0.017,좋음,0.02,좋음,0.4,좋음,0.002
2021-05-07:23,매우나쁨,941,매우나쁨,166,좋음,0.017,좋음,0.021,좋음,0.4,좋음,0.003
2021-05-07:22,매우나쁨,786,매우나쁨,139,좋음,0.015,좋음,0.025,좋음,0.5,좋음,0.002
2021-05-07:21,매우나쁨,669,매우나쁨,118,좋음,0.018,좋음,0.025,좋음,0.4,좋음,0.002
2021-05-07:20,매우나쁨,728,매우나쁨,129,좋음,0.022,좋음,0.024,좋음,0.4,좋음,0.002
2021-05-07:19,매우나쁨,748,매우나쁨,140,좋음,0.021,좋음,0.025,좋음,0.4,좋음,0.002
2021-05-07:18,매우나쁨,703,매우나쁨,131,좋음,0.024,좋음,0.022,좋음,0.4,좋음,0.003
